Date,Open,High,Low,Close,Volume
1/2/2018,71.599998,71.639999,70.360001,71,529778
1/3/2018,71.339996,71.559998,70.860001,71.260002,521054
1/4/2018,71.800003,73.18,71.599998,72.720001,891908
1/5/2018,73,73.620003,72.82,73.400002,704074
1/8/2018,73.620003,73.919998,72.940002,72.940002,775004
1/9/2018,72.959999,73.599998,72.919998,73.400002,655650
1/10/2018,73.5,75.919998,73.379997,75.5,1202861
1/11/2018,75.419998,75.720001,74.779999,75.18,903875
1/12/2018,75.300003,75.419998,74.559998,75.160004,713855
1/15/2018,75.080002,75.220001,74.639999,74.919998,320438
1/16/2018,74.779999,75.379997,74.720001,75.139999,485092
1/17/2018,74.519997,75.160004,74.199997,74.580002,640592
1/18/2018,74.779999,75.360001,74.580002,75.059998,441612
1/19/2018,75.160004,75.660004,74.900002,75.660004,565720
1/22/2018,75.699997,77.160004,75.160004,76.82,960462
1/23/2018,77.480003,77.480003,76.040001,76.540001,665514
1/24/2018,76.260002,76.860001,75.800003,76.199997,497177
1/25/2018,76,77.199997,75.800003,77.199997,583457
1/26/2018,77.300003,77.940002,77.040001,77.760002,813590
1/29/2018,78.32,78.800003,77.339996,77.419998,632285
1/30/2018,77.139999,77.720001,77,77.559998,647613
1/31/2018,77.199997,77.620003,76.980003,77.400002,666239
2/1/2018,78,78.580002,77.419998,77.760002,669548
2/2/2018,77.559998,78.059998,76.959999,77.32,571335
2/5/2018,76.860001,77.459999,76.080002,76.620003,636063
2/6/2018,74.099998,75.800003,73.779999,73.919998,1316440
2/7/2018,74.739998,76.919998,73.839996,76.660004,1072115
2/8/2018,76.940002,77.480003,74.339996,74.699997,939361
2/9/2018,74.279999,74.360001,71.379997,72.879997,1462901
2/12/2018,73.639999,74.220001,72.519997,72.940002,719532
2/13/2018,72.919998,73.059998,71.900002,71.940002,732674
2/14/2018,72.5,72.760002,71.400002,71.839996,776438
2/15/2018,72.5,73.120003,72.220001,72.379997,925501
2/16/2018,72.900002,73.040001,72.360001,72.68,825171
2/19/2018,73.160004,73.400002,72.639999,72.639999,621972
2/20/2018,72.860001,73.18,72.480003,72.760002,488235
2/21/2018,72.440002,73.860001,72.160004,73.400002,645488
2/22/2018,73.940002,75.839996,73.040001,75.059998,991987
2/23/2018,75.339996,75.339996,74.360001,74.519997,611247
2/26/2018,75.199997,75.720001,75.080002,75.480003,537927
2/27/2018,75.900002,77.459999,75.599998,77,824290
2/28/2018,77,77.639999,76.480003,77.300003,775852
3/1/2018,77.099998,77.18,75.660004,75.980003,800698
3/2/2018,75.360001,75.480003,73.5,74.379997,990569
3/5/2018,74.220001,75.160004,74.080002,74.699997,727995
3/6/2018,75.800003,75.959999,74.760002,74.839996,578637
3/7/2018,74.599998,75.419998,74.540001,75.18,701589
3/8/2018,75.699997,75.940002,74.800003,74.800003,803676
3/9/2018,75.059998,75.68,74.900002,75.279999,467627
3/12/2018,75.860001,75.900002,75.120003,75.220001,303251
3/13/2018,75.480003,75.519997,74.260002,74.419998,851385
3/14/2018,73.199997,73.980003,72.860001,73.220001,975346
3/15/2018,73.459999,73.900002,72.900002,73.540001,611151
3/16/2018,73.68,74.239998,73.519997,73.800003,1154705
3/19/2018,73.919998,73.980003,72.580002,72.839996,548559
3/20/2018,72.919998,73.459999,72.68,73,433885
3/21/2018,73.019997,73.360001,72.139999,72.379997,619212
3/22/2018,71.839996,72.540001,69.580002,69.980003,1202004
3/23/2018,69.5,70.599998,69.040001,70.440002,1312265
3/26/2018,70.620003,70.959999,69.900002,70.459999,621088
3/27/2018,71.519997,71.82,70.300003,70.5,507480
3/28/2018,69.919998,71.339996,69.379997,71.18,746049
3/29/2018,71.800003,71.800003,70.639999,70.720001,765271
4/3/2018,70.199997,70.540001,69.5,70.120003,802624
4/4/2018,70.400002,70.540001,68.699997,69.82,890233
4/5/2018,70.959999,71.599998,70.660004,71.220001,583547
4/6/2018,71,71.279999,69.860001,70.160004,581159
4/9/2018,70.580002,71.120003,70.080002,70.860001,469382
4/10/2018,71.279999,72.099998,70.919998,71.519997,676940
4/11/2018,71.400002,72.099998,70.760002,70.879997,534843
4/12/2018,71.040001,71.459999,70.559998,71.199997,464213
4/13/2018,71.459999,72.239998,71.080002,71.5,556150
4/16/2018,71.419998,72.019997,71.419998,71.839996,375271
4/17/2018,72.239998,72.559998,72,72.260002,497345
4/18/2018,72.519997,73,72.059998,72.900002,679875
4/19/2018,72.959999,73.480003,72.720001,73.199997,531112
4/20/2018,73.720001,73.720001,72.660004,72.959999,696407
4/23/2018,72.82,74.040001,72.660004,73.800003,456919
4/24/2018,73.900002,74,73.239998,73.779999,606861
4/25/2018,73.540001,73.620003,72.339996,72.940002,422055
4/26/2018,72.739998,73.160004,72.5,72.800003,398903
4/27/2018,72.879997,73.099998,72.139999,72.800003,378033
4/30/2018,72.739998,72.980003,72.339996,72.400002,558287
5/2/2018,72.400002,73.080002,72.379997,72.900002,534443
5/3/2018,72.980003,73.059998,70.900002,71.400002,762166
5/4/2018,71.199997,72,70.82,71.919998,618064
5/7/2018,70.300003,70.300003,69.580002,69.699997,453282
5/8/2018,69.68,70.699997,69.599998,70.699997,536103
5/9/2018,70.620003,71.419998,70.540001,71.199997,780434
5/10/2018,71.260002,72.18,71.160004,71.980003,472212
